Verrucomicrobiota	0.0488641
Pseudomonadota	0.0520177
Verrucomicrobiota	0.0249731
Actinomycetota	0.0140671
Pseudomonadota	0.0139538
Verrucomicrobiota	0.00900104
Actinomycetota	0.018213
Actinomycetota	0.0039087
Verrucomicrobiota	0.0198747
Pseudomonadota	0.0222478
Thermodesulfobacteriota	0.0132369
Verrucomicrobiota	0.00489117
Actinomycetota	0.00405635
Pseudomonadota	0.00361684
Actinomycetota	0.0048519
Pseudomonadota	0.00637052
Pseudomonadota	0.00348807
Verrucomicrobiota	0.0027
Acidobacteriota	0.00111828
Actinomycetota	0.00462834
Actinomycetota	0.0018269
Actinomycetota	0.00224003
Nitrososphaerota	0.0189441
Acidobacteriota	0.00275154
Verrucomicrobiota	0.00301546
Verrucomicrobiota	0.000702409
Actinomycetota	0.000329428
Actinomycetota	0.00927179
Pseudomonadota	0.000149024
Actinomycetota	0.000779492
Actinomycetota	0.000779492
Pseudomonadota	0.00165686
Actinomycetota	0.000779492
Pseudomonadota	0.00165686
Pseudomonadota	0.000378419
Actinomycetota	0.000779492
Pseudomonadota	0.00165686
Pseudomonadota	0.000378419
Actinomycetota	0.000779492
Acidobacteriota	0.00140367
Acidobacteriota	0.00140367
Acidobacteriota	0.00140367
Acidobacteriota	0.00140367
Acidobacteriota	0.00140367
Acidobacteriota	0.00140367
Firmicutes	0.00686521
Myxococcota	0.000276099
Nitrospirota	0.000182838
Firmicutes	0.00686521
Myxococcota	0.000276099
Pseudomonadota	0.000841401
Nitrospirota	6.27461e-05
Thermodesulfobacteriota	6.20306e-05
Firmicutes	0.00686521
Myxococcota	0.000276099
Pseudomonadota	0.000841401
Nitrospirota	6.27461e-05
Thermodesulfobacteriota	6.20306e-05
Firmicutes	0.00607918
Firmicutes	0.000786034
Myxococcota	0.000276099
Pseudomonadota	0.000841401
Nitrospirota	6.27461e-05
Pseudomonadota	5.96074e-05
Thermodesulfobacteriota	6.20306e-05
Firmicutes	0.00375856
Firmicutes	0.000786034
Myxococcota	0.000276099
Firmicutes	0.0015325
Pseudomonadota	0.000841401
Actinomycetota	0.000315278
Actinomycetota	0.000676724
Nitrospirota	6.27461e-05
Pseudomonadota	5.96074e-05
Thermodesulfobacteriota	6.20306e-05
Firmicutes	0.00375856
Firmicutes	0.000786034
Myxococcota	0.000276099
Firmicutes	0.00145212
Pseudomonadota	0.000841401
Actinomycetota	0.000315278
Actinomycetota	0.000676724
Nitrospirota	6.27461e-05
Pseudomonadota	5.96074e-05
Thermodesulfobacteriota	6.20306e-05
Firmicutes	0.00375856
Firmicutes	0.000786034
Myxococcota	0.000276099
Firmicutes	0.00145212
Pseudomonadota	0.000841401
Actinomycetota	0.000315278
Actinomycetota	0.000676724
Nitrospirota	6.27461e-05
Pseudomonadota	5.96074e-05
Thermodesulfobacteriota	6.20306e-05
Pseudomonadota	0.000193557
Pseudomonadota	0.000193557
Pseudomonadota	0.000193557
Firmicutes	0.000788122
Pseudomonadota	1.79091e-05
Firmicutes	0.000788122
Pseudomonadota	0.000199481
Pseudomonadota	1.79091e-05
Firmicutes	0.000788122
Pseudomonadota	0.000199481
Pseudomonadota	1.79091e-05
Nitrososphaerota	0.000200146
Nitrososphaerota	0.000200146
Nitrososphaerota	0.000200146
Thermomicrobiota	0.000136595
Thermomicrobiota	0.000136595
Thermomicrobiota	0.000136595
Thermomicrobiota	0.000136595
Actinomycetota	0.000129657
Thermomicrobiota	0.000136595
Actinomycetota	0.000129657
Thermomicrobiota	0.000136595
Actinomycetota	0.000129657
Thermomicrobiota	0.000136595
Acidobacteriota	0.000274498
Acidobacteriota	0.000274498
Acidobacteriota	0.000274498
Pseudomonadota	7.47286e-06
Acidobacteriota	0.000274498
Actinomycetota	7.99325e-05
Pseudomonadota	0.000135749
Pseudomonadota	7.47286e-06
Pseudomonadota	6.85629e-06
Acidobacteriota	0.000274498
Actinomycetota	7.99325e-05
Pseudomonadota	0.000135749
Pseudomonadota	7.47286e-06
Pseudomonadota	6.85629e-06
Acidobacteriota	0.000274498
Actinomycetota	7.99325e-05
Pseudomonadota	0.000135749
Pseudomonadota	7.47286e-06
Pseudomonadota	6.85629e-06
Actinomycetota	0.000458152
Actinomycetota	0.000458152
Actinomycetota	0.000458152
Actinomycetota	0.00024302
Thermodesulfobacteriota	1.49593e-05
Actinomycetota	0.000458152
Firmicutes	8.03815e-05
Actinomycetota	0.00024302
Thermodesulfobacteriota	1.49593e-05
Actinomycetota	0.000458152
Firmicutes	8.03815e-05
Actinomycetota	0.00024302
Thermodesulfobacteriota	1.49593e-05
Bacteria_unclassified	0.00205636
Bacteria_unclassified	0.00205636
Acidobacteriota	0.000847934
Acidobacteriota	0.000747415
Acidobacteriota	1.5169e-05
Bacteria_unclassified	0.00205636
Acidobacteriota	0.000847934
Acidobacteriota	0.000747415
