Wavelength (nm),Absorbance
598.0,0.270
599.0,0.271
600.0,0.272
601.0,0.273
602.0,0.274
603.0,0.275
604.0,0.276
605.0,0.277
606.0,0.278
607.0,0.279
608.0,0.280
609.0,0.281
610.0,0.282
611.0,0.283
612.0,0.284
613.0,0.285
614.0,0.286
615.0,0.287
616.0,0.288
617.0,0.288
618.0,0.289
619.0,0.290
620.0,0.291
621.0,0.292
622.0,0.293
623.0,0.294
624.0,0.295
625.0,0.296
626.0,0.296
627.0,0.297
628.0,0.298
629.0,0.299
630.0,0.300
631.0,0.301
632.0,0.302
633.0,0.302
634.0,0.304
635.0,0.305
636.0,0.306
637.0,0.307
638.0,0.307
639.0,0.308
640.0,0.309
641.0,0.310
642.0,0.311
643.0,0.312
644.0,0.312
645.0,0.313
646.0,0.314
647.0,0.315
648.0,0.316
649.0,0.317
650.0,0.318
651.0,0.320
652.0,0.320
653.0,0.321
654.0,0.322
655.0,0.323
656.0,0.324
657.0,0.324
658.0,0.325
659.0,0.327
660.0,0.328
661.0,0.329
662.0,0.330
663.0,0.331
664.0,0.332
665.0,0.333
666.0,0.334
667.0,0.334
668.0,0.336
669.0,0.336
670.0,0.337
671.0,0.339
672.0,0.340
673.0,0.341
674.0,0.342
675.0,0.343
676.0,0.344
677.0,0.345
678.0,0.346
679.0,0.347
680.0,0.348
681.0,0.349
682.0,0.349
683.0,0.350
684.0,0.351
685.0,0.352
686.0,0.353
687.0,0.354
688.0,0.355
689.0,0.355
690.0,0.356
691.0,0.357
692.0,0.358
693.0,0.358
694.0,0.359
695.0,0.360
696.0,0.360
697.0,0.361
698.0,0.361
699.0,0.362
700.0,0.363
701.0,0.364
702.0,0.364
703.0,0.364
704.0,0.365
705.0,0.365
706.0,0.365
707.0,0.365
708.0,0.365
709.0,0.365
710.0,0.366
711.0,0.366
712.0,0.366
713.0,0.366
714.0,0.366
715.0,0.366
716.0,0.366
717.0,0.366
718.0,0.366
719.0,0.365
720.0,0.365
721.0,0.365
722.0,0.365
723.0,0.364
724.0,0.364
725.0,0.364
726.0,0.363
727.0,0.363
728.0,0.362
729.0,0.361
730.0,0.361
731.0,0.361
732.0,0.361
733.0,0.360
734.0,0.360
735.0,0.359
736.0,0.358
737.0,0.357
738.0,0.357
739.0,0.356
740.0,0.356
741.0,0.355
742.0,0.355
743.0,0.353
744.0,0.353
745.0,0.352
746.0,0.351
747.0,0.350
748.0,0.350
749.0,0.349
750.0,0.349
751.0,0.347
752.0,0.347
753.0,0.347
754.0,0.347
755.0,0.346
756.0,0.345
757.0,0.345
758.0,0.344
759.0,0.343
760.0,0.343
761.0,0.343
762.0,0.343
763.0,0.342
764.0,0.342
765.0,0.341
766.0,0.340
767.0,0.340
768.0,0.340
769.0,0.339
770.0,0.339
771.0,0.339
772.0,0.339
773.0,0.339
774.0,0.338
775.0,0.338
776.0,0.338
777.0,0.338
778.0,0.338
779.0,0.338
780.0,0.338
781.0,0.338
782.0,0.339
783.0,0.338
784.0,0.339
785.0,0.339
786.0,0.339
787.0,0.338
788.0,0.339
789.0,0.339
790.0,0.340
791.0,0.340
792.0,0.340
793.0,0.341
794.0,0.341
795.0,0.342
796.0,0.342
797.0,0.343
798.0,0.343
799.0,0.344
800.0,0.344
801.0,0.345
802.0,0.345
803.0,0.346
804.0,0.347
805.0,0.348
806.0,0.348
807.0,0.349
808.0,0.350
809.0,0.350
810.0,0.351
811.0,0.352
812.0,0.353
813.0,0.354
814.0,0.355
815.0,0.356
816.0,0.358
817.0,0.359
818.0,0.360
819.0,0.360
820.0,0.361
821.0,0.362
822.0,0.363
823.0,0.364
824.0,0.365
825.0,0.367
826.0,0.368
827.0,0.369
828.0,0.370
829.0,0.371
830.0,0.372
831.0,0.373
832.0,0.374
833.0,0.376
834.0,0.377
835.0,0.379
836.0,0.380
837.0,0.381
838.0,0.382
839.0,0.383
840.0,0.385
841.0,0.386
842.0,0.388
843.0,0.389
844.0,0.390
845.0,0.391
846.0,0.392
847.0,0.394
848.0,0.395
849.0,0.397
850.0,0.398
851.0,0.399
852.0,0.400
853.0,0.402
854.0,0.403
855.0,0.404
856.0,0.406
857.0,0.407
858.0,0.408
859.0,0.409
860.0,0.410
861.0,0.412
862.0,0.413
863.0,0.414
864.0,0.415
865.0,0.416
866.0,0.417
867.0,0.418
868.0,0.420
869.0,0.420
870.0,0.421
871.0,0.422
872.0,0.422
873.0,0.422
874.0,0.423
875.0,0.424
876.0,0.425
877.0,0.426
878.0,0.427
879.0,0.427
880.0,0.427
881.0,0.428
882.0,0.427
883.0,0.427
884.0,0.427
885.0,0.428
886.0,0.428
887.0,0.427
888.0,0.427
889.0,0.427
890.0,0.427
891.0,0.426
892.0,0.426
893.0,0.425
894.0,0.424
895.0,0.424
896.0,0.423
897.0,0.422
898.0,0.421
899.0,0.420
900.0,0.419
901.0,0.418
902.0,0.416
903.0,0.415
904.0,0.413
905.0,0.411
906.0,0.409
907.0,0.407
908.0,0.405
909.0,0.403
910.0,0.401
911.0,0.399
912.0,0.397
913.0,0.395
914.0,0.392
915.0,0.390
916.0,0.387
917.0,0.385
918.0,0.382
919.0,0.379
920.0,0.376
921.0,0.373
922.0,0.371
923.0,0.368
924.0,0.365
925.0,0.362
926.0,0.358
927.0,0.355
928.0,0.352
929.0,0.348
930.0,0.345
931.0,0.342
932.0,0.339
933.0,0.335
934.0,0.332
935.0,0.329
936.0,0.326
937.0,0.323
938.0,0.319
939.0,0.315
940.0,0.312
941.0,0.308
942.0,0.305
943.0,0.302
944.0,0.298
945.0,0.295
946.0,0.292
947.0,0.288
948.0,0.285
949.0,0.282
950.0,0.279
951.0,0.275
952.0,0.272
953.0,0.269
954.0,0.266
955.0,0.263
956.0,0.260
957.0,0.257
958.0,0.254
959.0,0.251
960.0,0.249
961.0,0.246
962.0,0.243
963.0,0.240
964.0,0.238
965.0,0.235
966.0,0.233
967.0,0.231
968.0,0.228
969.0,0.226
970.0,0.224
971.0,0.221
972.0,0.219
973.0,0.217
974.0,0.215
975.0,0.213
976.0,0.211
977.0,0.208
978.0,0.206
979.0,0.204
980.0,0.202
981.0,0.200
982.0,0.199
983.0,0.197
984.0,0.195
985.0,0.193
986.0,0.192
987.0,0.190
988.0,0.188
989.0,0.187
990.0,0.185
991.0,0.183
992.0,0.181
993.0,0.180
994.0,0.178
995.0,0.177
996.0,0.175
997.0,0.174
998.0,0.173
999.0,0.171
1000.0,0.170
1001.0,0.169
1002.0,0.167
1003.0,0.166
1004.0,0.165
1005.0,0.164
1006.0,0.163
1007.0,0.162
1008.0,0.160
1009.0,0.159
1010.0,0.158
1011.0,0.157
1012.0,0.156
1013.0,0.155
1014.0,0.154
1015.0,0.152
1016.0,0.152
1017.0,0.151
1018.0,0.149
1019.0,0.148
1020.0,0.147
1021.0,0.146
1022.0,0.145
1023.0,0.145
1024.0,0.144
1025.0,0.143
1026.0,0.142
1027.0,0.141
1028.0,0.141
1029.0,0.140
1030.0,0.139
1031.0,0.138
1032.0,0.137
1033.0,0.136
1034.0,0.136
1035.0,0.135
1036.0,0.134
1037.0,0.133
1038.0,0.133
1039.0,0.132
1040.0,0.131
1041.0,0.131
1042.0,0.130
1043.0,0.129
1044.0,0.129
1045.0,0.128
1046.0,0.127
1047.0,0.127
1048.0,0.126
1049.0,0.126
1050.0,0.125
1051.0,0.125
1052.0,0.124
1053.0,0.123
1054.0,0.123
1055.0,0.122
1056.0,0.122
1057.0,0.121
1058.0,0.120
1059.0,0.120
1060.0,0.120
1061.0,0.119
1062.0,0.118
1063.0,0.118
1064.0,0.117
1065.0,0.117
1066.0,0.116
1067.0,0.116
1068.0,0.115
1069.0,0.115
1070.0,0.114
1071.0,0.114
1072.0,0.113
1073.0,0.113
1074.0,0.113
1075.0,0.112
1076.0,0.112
1077.0,0.111
1078.0,0.111
1079.0,0.111
1080.0,0.110
1081.0,0.110
1082.0,0.109
1083.0,0.109
1084.0,0.108
1085.0,0.108
1086.0,0.108
1087.0,0.107
1088.0,0.107
1089.0,0.106
1090.0,0.106
1091.0,0.106
1092.0,0.105
1093.0,0.105
1094.0,0.104
1095.0,0.104
1096.0,0.104
1097.0,0.103
1098.0,0.103
1099.0,0.103
1100.0,0.102
1101.0,0.102
1102.0,0.102
1103.0,0.101
1104.0,0.101
1105.0,0.100
1106.0,0.100
1107.0,0.100
1108.0,0.099
1109.0,0.099
1110.0,0.099
1111.0,0.099
1112.0,0.098
1113.0,0.098
1114.0,0.098
1115.0,0.097
1116.0,0.097
1117.0,0.096
1118.0,0.096
1119.0,0.096
1120.0,0.096
1121.0,0.095
1122.0,0.095
1123.0,0.095
1124.0,0.094
1125.0,0.094
1126.0,0.093
1127.0,0.093
1128.0,0.093
1129.0,0.092
1130.0,0.092
1131.0,0.092
1132.0,0.091
1133.0,0.091
1134.0,0.090
1135.0,0.090
1136.0,0.089
1137.0,0.089
1138.0,0.089
1139.0,0.088
1140.0,0.088
1141.0,0.087
1142.0,0.087
1143.0,0.087
1144.0,0.086
1145.0,0.086
1146.0,0.086
1147.0,0.086
1148.0,0.085
1149.0,0.085
1150.0,0.085
1151.0,0.085
