Wavelength (nm),Absorbance
200.0,0.097
201.0,0.127
202.0,0.264
203.0,0.139
204.0,0.159
205.0,0.172
206.0,0.217
207.0,0.215
208.0,0.180
209.0,0.200
210.0,0.279
211.0,0.270
212.0,0.241
213.0,0.231
214.0,0.137
215.0,0.088
216.0,-0.022
217.0,0.030
218.0,0.028
219.0,0.091
220.0,0.143
221.0,0.202
222.0,0.225
223.0,0.230
224.0,0.205
225.0,0.200
226.0,0.218
227.0,0.274
228.0,0.139
229.0,0.016
230.0,0.026
231.0,0.086
232.0,0.134
233.0,0.051
234.0,0.144
235.0,0.168
236.0,0.253
237.0,0.370
238.0,0.419
239.0,0.430
240.0,0.248
241.0,0.144
242.0,0.126
243.0,0.259
244.0,0.328
245.0,0.405
246.0,0.385
247.0,0.364
248.0,0.230
249.0,0.177
250.0,0.148
251.0,0.169
252.0,0.137
253.0,0.124
254.0,0.108
255.0,0.119
256.0,0.204
257.0,0.238
258.0,0.163
259.0,0.167
260.0,0.142
261.0,0.146
262.0,0.154
263.0,0.151
264.0,0.263
265.0,0.174
266.0,0.189
267.0,0.016
268.0,0.009
269.0,0.078
270.0,0.195
271.0,0.195
272.0,0.171
273.0,0.207
274.0,0.414
275.0,0.288
276.0,0.300
277.0,0.242
278.0,0.329
279.0,0.300
280.0,0.226
281.0,0.257
282.0,0.295
283.0,0.235
284.0,0.143
285.0,0.103
286.0,0.105
287.0,0.237
288.0,0.237
289.0,0.241
290.0,0.202
291.0,0.196
292.0,0.239
293.0,0.128
294.0,0.163
295.0,0.098
296.0,0.196
297.0,0.198
298.0,0.192
299.0,0.173
300.0,0.158
301.0,0.216
302.0,0.260
303.0,0.289
304.0,0.304
305.0,0.312
306.0,0.313
307.0,0.330
308.0,0.336
309.0,0.348
310.0,0.353
311.0,0.361
312.0,0.354
313.0,0.353
314.0,0.356
315.0,0.357
316.0,0.357
317.0,0.351
318.0,0.345
319.0,0.339
320.0,0.334
321.0,0.325
322.0,0.316
323.0,0.308
324.0,0.301
325.0,0.293
326.0,0.284
327.0,0.276
328.0,0.268
329.0,0.260
330.0,0.251
331.0,0.244
332.0,0.236
333.0,0.229
334.0,0.221
335.0,0.215
336.0,0.208
337.0,0.201
338.0,0.194
339.0,0.188
340.0,0.183
341.0,0.178
342.0,0.173
343.0,0.167
344.0,0.162
345.0,0.157
346.0,0.153
347.0,0.149
348.0,0.145
349.0,0.142
350.0,0.139
351.0,0.136
352.0,0.133
353.0,0.130
354.0,0.127
355.0,0.123
356.0,0.121
357.0,0.119
358.0,0.117
359.0,0.115
360.0,0.113
361.0,0.111
362.0,0.109
363.0,0.108
364.0,0.106
365.0,0.105
366.0,0.103
367.0,0.102
368.0,0.101
369.0,0.100
370.0,0.099
371.0,0.097
372.0,0.096
373.0,0.095
374.0,0.094
375.0,0.093
376.0,0.092
377.0,0.091
378.0,0.090
379.0,0.090
380.0,0.089
381.0,0.088
382.0,0.087
383.0,0.086
384.0,0.086
385.0,0.085
386.0,0.084
387.0,0.083
388.0,0.082
389.0,0.082
390.0,0.081
391.0,0.080
392.0,0.079
393.0,0.079
394.0,0.079
395.0,0.078
396.0,0.077
397.0,0.077
398.0,0.076
399.0,0.076
400.0,0.075
401.0,0.075
402.0,0.075
403.0,0.075
404.0,0.075
405.0,0.075
406.0,0.074
407.0,0.074
408.0,0.074
409.0,0.074
410.0,0.075
411.0,0.074
412.0,0.074
413.0,0.074
414.0,0.074
415.0,0.074
416.0,0.074
417.0,0.075
418.0,0.075
419.0,0.075
420.0,0.075
421.0,0.075
422.0,0.075
423.0,0.076
424.0,0.076
425.0,0.076
426.0,0.077
427.0,0.077
428.0,0.077
429.0,0.078
430.0,0.079
431.0,0.079
432.0,0.079
433.0,0.080
434.0,0.080
435.0,0.081
436.0,0.082
437.0,0.082
438.0,0.082
439.0,0.083
440.0,0.084
441.0,0.085
442.0,0.086
443.0,0.086
444.0,0.087
445.0,0.087
446.0,0.088
447.0,0.089
448.0,0.090
449.0,0.091
450.0,0.092
451.0,0.093
452.0,0.093
453.0,0.094
454.0,0.095
455.0,0.096
456.0,0.097
457.0,0.098
458.0,0.099
459.0,0.100
460.0,0.101
461.0,0.101
462.0,0.103
463.0,0.104
464.0,0.105
465.0,0.106
466.0,0.107
467.0,0.108
468.0,0.108
469.0,0.109
470.0,0.110
471.0,0.112
472.0,0.113
473.0,0.114
474.0,0.115
475.0,0.116
476.0,0.117
477.0,0.118
478.0,0.119
479.0,0.120
480.0,0.121
481.0,0.122
482.0,0.123
483.0,0.124
484.0,0.125
485.0,0.126
486.0,0.127
487.0,0.128
488.0,0.129
489.0,0.129
490.0,0.130
491.0,0.131
492.0,0.132
493.0,0.133
494.0,0.134
495.0,0.135
496.0,0.136
497.0,0.137
498.0,0.138
499.0,0.139
500.0,0.139
501.0,0.140
502.0,0.141
503.0,0.142
504.0,0.143
505.0,0.144
506.0,0.144
507.0,0.145
508.0,0.146
509.0,0.147
510.0,0.148
511.0,0.148
512.0,0.150
513.0,0.151
514.0,0.152
515.0,0.152
516.0,0.153
517.0,0.154
518.0,0.155
519.0,0.156
520.0,0.157
521.0,0.158
522.0,0.160
523.0,0.161
524.0,0.162
525.0,0.163
526.0,0.164
527.0,0.166
528.0,0.167
529.0,0.168
530.0,0.170
531.0,0.171
532.0,0.172
533.0,0.174
534.0,0.175
535.0,0.176
536.0,0.178
537.0,0.179
538.0,0.181
539.0,0.182
540.0,0.183
541.0,0.184
542.0,0.186
543.0,0.187
544.0,0.189
545.0,0.190
546.0,0.192
547.0,0.193
548.0,0.194
549.0,0.195
550.0,0.197
551.0,0.198
552.0,0.199
553.0,0.200
554.0,0.201
555.0,0.203
556.0,0.204
557.0,0.204
558.0,0.205
559.0,0.206
560.0,0.208
561.0,0.209
562.0,0.210
563.0,0.211
564.0,0.212
565.0,0.214
566.0,0.215
567.0,0.216
568.0,0.217
569.0,0.218
570.0,0.219
571.0,0.220
572.0,0.221
573.0,0.222
574.0,0.223
575.0,0.224
576.0,0.225
577.0,0.226
578.0,0.227
579.0,0.228
580.0,0.229
581.0,0.230
582.0,0.231
583.0,0.232
584.0,0.233
585.0,0.234
586.0,0.235
587.0,0.236
588.0,0.237
589.0,0.238
590.0,0.239
591.0,0.240
592.0,0.241
593.0,0.242
594.0,0.243
595.0,0.244
596.0,0.245
597.0,0.245
598.0,0.247
599.0,0.247
600.0,0.248
601.0,0.249
602.0,0.250
603.0,0.251
604.0,0.251
605.0,0.252
606.0,0.253
607.0,0.254
608.0,0.255
609.0,0.256
610.0,0.257
611.0,0.258
612.0,0.259
613.0,0.259
614.0,0.260
615.0,0.261
616.0,0.262
617.0,0.263
618.0,0.264
619.0,0.265
620.0,0.265
621.0,0.266
622.0,0.267
623.0,0.267
624.0,0.268
625.0,0.269
626.0,0.270
627.0,0.270
628.0,0.271
629.0,0.272
630.0,0.273
631.0,0.274
632.0,0.275
633.0,0.275
634.0,0.276
635.0,0.277
636.0,0.278
637.0,0.279
638.0,0.280
639.0,0.281
640.0,0.282
641.0,0.283
642.0,0.283
643.0,0.284
644.0,0.284
645.0,0.285
646.0,0.286
647.0,0.287
648.0,0.288
649.0,0.289
650.0,0.290
651.0,0.291
652.0,0.292
653.0,0.293
654.0,0.293
655.0,0.294
656.0,0.296
657.0,0.297
658.0,0.297
659.0,0.298
660.0,0.299
661.0,0.300
662.0,0.301
663.0,0.302
664.0,0.303
665.0,0.304
666.0,0.305
667.0,0.306
668.0,0.307
669.0,0.308
670.0,0.309
671.0,0.311
672.0,0.311
673.0,0.312
674.0,0.313
675.0,0.314
676.0,0.315
677.0,0.316
678.0,0.317
679.0,0.319
680.0,0.320
681.0,0.320
682.0,0.321
683.0,0.322
684.0,0.323
685.0,0.324
686.0,0.325
687.0,0.326
688.0,0.327
689.0,0.328
690.0,0.328
691.0,0.329
692.0,0.330
693.0,0.331
694.0,0.332
695.0,0.332
696.0,0.333
697.0,0.334
698.0,0.334
699.0,0.335
700.0,0.336
701.0,0.336
702.0,0.337
703.0,0.337
704.0,0.337
705.0,0.338
706.0,0.339
707.0,0.339
708.0,0.339
709.0,0.339
710.0,0.339
711.0,0.340
712.0,0.341
713.0,0.341
714.0,0.341
715.0,0.341
716.0,0.341
717.0,0.341
718.0,0.341
719.0,0.341
720.0,0.341
721.0,0.341
722.0,0.341
723.0,0.341
724.0,0.341
725.0,0.340
726.0,0.340
727.0,0.339
728.0,0.339
729.0,0.338
730.0,0.339
731.0,0.338
732.0,0.338
733.0,0.337
734.0,0.338
735.0,0.337
736.0,0.336
737.0,0.335
738.0,0.336
739.0,0.334
740.0,0.334
741.0,0.333
742.0,0.332
743.0,0.331
744.0,0.330
745.0,0.330
746.0,0.329
747.0,0.329
748.0,0.328
749.0,0.329
750.0,0.328
751.0,0.327
752.0,0.326
753.0,0.326
754.0,0.325
755.0,0.324
756.0,0.324
757.0,0.323
758.0,0.322
759.0,0.321
760.0,0.321
761.0,0.320
762.0,0.320
763.0,0.320
764.0,0.320
765.0,0.319
766.0,0.318
767.0,0.317
768.0,0.317
769.0,0.317
770.0,0.316
771.0,0.316
772.0,0.316
773.0,0.316
774.0,0.316
775.0,0.315
776.0,0.315
777.0,0.315
778.0,0.314
779.0,0.314
780.0,0.314
781.0,0.314
782.0,0.314
783.0,0.314
784.0,0.314
785.0,0.315
786.0,0.315
787.0,0.315
788.0,0.315
789.0,0.314
790.0,0.314
791.0,0.315
792.0,0.315
793.0,0.315
794.0,0.315
795.0,0.316
796.0,0.316
797.0,0.316
798.0,0.316
799.0,0.317
800.0,0.317
801.0,0.318
802.0,0.318
803.0,0.319
804.0,0.320
805.0,0.321
806.0,0.322
807.0,0.322
808.0,0.323
809.0,0.323
810.0,0.324
811.0,0.324
812.0,0.325
813.0,0.325
814.0,0.325
815.0,0.327
816.0,0.328
817.0,0.330
818.0,0.330
819.0,0.331
820.0,0.331
821.0,0.332
822.0,0.333
823.0,0.334
824.0,0.336
825.0,0.337
826.0,0.337
827.0,0.338
828.0,0.339
829.0,0.341
830.0,0.342
831.0,0.343
832.0,0.343
833.0,0.344
834.0,0.346
835.0,0.348
836.0,0.349
837.0,0.349
838.0,0.350
839.0,0.352
840.0,0.353
841.0,0.353
842.0,0.355
843.0,0.357
844.0,0.358
845.0,0.359
846.0,0.360
847.0,0.361
848.0,0.362
849.0,0.364
850.0,0.364
851.0,0.365
852.0,0.366
853.0,0.367
854.0,0.369
855.0,0.370
856.0,0.371
857.0,0.372
858.0,0.373
859.0,0.374
860.0,0.376
861.0,0.377
862.0,0.378
863.0,0.379
864.0,0.380
865.0,0.381
866.0,0.381
867.0,0.382
868.0,0.384
869.0,0.385
870.0,0.385
871.0,0.386
872.0,0.386
873.0,0.386
874.0,0.387
875.0,0.388
876.0,0.389
877.0,0.389
878.0,0.390
879.0,0.390
880.0,0.391
881.0,0.391
882.0,0.391
883.0,0.391
884.0,0.391
885.0,0.391
886.0,0.391
887.0,0.391
888.0,0.391
889.0,0.391
890.0,0.390
891.0,0.390
892.0,0.389
893.0,0.388
894.0,0.388
895.0,0.387
896.0,0.386
897.0,0.386
898.0,0.385
899.0,0.384
900.0,0.383
901.0,0.382
902.0,0.380
903.0,0.379
904.0,0.377
905.0,0.376
906.0,0.375
907.0,0.373
908.0,0.371
909.0,0.369
910.0,0.367
911.0,0.365
912.0,0.363
913.0,0.361
914.0,0.359
915.0,0.357
916.0,0.355
917.0,0.353
918.0,0.350
919.0,0.348
920.0,0.345
921.0,0.342
922.0,0.340
923.0,0.337
924.0,0.334
925.0,0.331
926.0,0.329
927.0,0.326
928.0,0.323
929.0,0.320
930.0,0.317
931.0,0.314
932.0,0.311
933.0,0.308
934.0,0.306
935.0,0.303
936.0,0.300
937.0,0.297
938.0,0.294
939.0,0.291
940.0,0.287
941.0,0.284
942.0,0.281
943.0,0.278
944.0,0.275
945.0,0.272
946.0,0.269
947.0,0.266
948.0,0.263
949.0,0.260
950.0,0.257
951.0,0.254
952.0,0.252
953.0,0.249
954.0,0.246
955.0,0.243
956.0,0.241
957.0,0.238
958.0,0.236
