X,SRR33750934,SRR33750935,SRR33750936,SRR33750937,SRR33750938,SRR33750940,SRR33750943,SRR33750947,SRR33750950,SRR33750951,SRR33750952,SRR33750956,SRR33750957,SRR33750958,SRR33750959,SRR33750960,SRR33750961,SRR33750963,
iron_aquisition-iron_transport,12,6,2,34,8,0,6,8,8,17,26,22,18,6,6,33,14,20,
iron_aquisition-heme_transport,0,3,0,1,0,1,1,1,1,1,3,3,3,2,1,5,1,0,
iron_aquisition-siderophore_transport,8,9,5,30,13,9,13,24,13,22,44,24,34,7,10,34,9,11,
iron_aquisition-siderophore_transport_potential,19,16,16,41,31,16,21,48,36,71,69,65,42,24,31,40,15,49,
iron_gene_regulation,90,59,56,240,143,73,83,196,164,292,298,237,205,90,78,183,130,178,
iron_oxidation,0,0,0,1,0,0,0,2,0,1,1,0,4,0,0,2,0,0,
probable_iron_reduction,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,3,0,0,
iron_storage,26,14,13,51,29,22,21,45,36,61,54,45,38,24,19,28,33,43,
