# Energy(eV)    mu(E)
6863.511154    1.438460e+00
6863.762049    1.437645e+00
6864.016946    1.436945e+00
6864.271863    1.436851e+00
6864.526800    1.436183e+00
6864.781756    1.435629e+00
6865.036733    1.435513e+00
6865.291729    1.434689e+00
6865.546744    1.434391e+00
6865.801780    1.433917e+00
6866.052850    1.433389e+00
6866.307925    1.433011e+00
6866.563020    1.432874e+00
6866.818134    1.432455e+00
6867.073269    1.431587e+00
6867.328423    1.431158e+00
6867.583597    1.430255e+00
6867.838791    1.430074e+00
6868.094004    1.429659e+00
6868.345250    1.429429e+00
6868.600503    1.428813e+00
6868.855776    1.428580e+00
6869.111068    1.428089e+00
6869.366381    1.427793e+00
6869.621713    1.427096e+00
6869.877065    1.426542e+00
6870.132437    1.426324e+00
6870.387829    1.425867e+00
6870.639250    1.425555e+00
6870.894681    1.424873e+00
6871.150132    1.424741e+00
6871.405603    1.424066e+00
6871.661094    1.423827e+00
6871.916604    1.423102e+00
6872.172135    1.422872e+00
6872.427685    1.422175e+00
6872.683256    1.421913e+00
6872.934852    1.421654e+00
6873.190462    1.421205e+00
6873.446091    1.420604e+00
6873.701741    1.420655e+00
6873.957410    1.419964e+00
6874.213099    1.419268e+00
6874.468808    1.418678e+00
6874.724537    1.418353e+00
6874.980286    1.417915e+00
6875.232058    1.417226e+00
6875.487846    1.417417e+00
6875.743654    1.416759e+00
6875.999482    1.416193e+00
6876.255330    1.415843e+00
6876.511198    1.415339e+00
6876.767086    1.414894e+00
6877.022994    1.414439e+00
6877.278921    1.414080e+00
6877.530869    1.413362e+00
6877.786836    1.413264e+00
6878.042823    1.412546e+00
6878.298830    1.412294e+00
6878.554857    1.411288e+00
6878.810904    1.411398e+00
6879.066970    1.410716e+00
6879.323057    1.410590e+00
6879.579163    1.410231e+00
6879.831288    1.409823e+00
6880.087434    1.408537e+00
6880.343600    1.408648e+00
6880.599786    1.407889e+00
6880.855991    1.407751e+00
6881.112217    1.407143e+00
6881.368463    1.407186e+00
6881.624729    1.406658e+00
6881.881014    1.405980e+00
6882.133315    1.405685e+00
6882.389640    1.405713e+00
6882.645985    1.404753e+00
6882.902350    1.404289e+00
6883.158736    1.403847e+00
6883.415141    1.403523e+00
6883.671566    1.403327e+00
6883.928010    1.402681e+00
6884.184475    1.401803e+00
6884.436953    1.401693e+00
6884.693457    1.401386e+00
6884.949982    1.400847e+00
6885.206526    1.400628e+00
6885.463091    1.400133e+00
6885.719675    1.399940e+00
6885.976280    1.399187e+00
6886.232904    1.398602e+00
6886.489548    1.397887e+00
6886.742202    1.397641e+00
6886.998886    1.397271e+00
6887.255590    1.396402e+00
6887.512315    1.396256e+00
6887.769059    1.396135e+00
6888.025823    1.395156e+00
6888.282607    1.394865e+00
6888.539411    1.395062e+00
6888.796235    1.393937e+00
6889.049066    1.393789e+00
6889.305930    1.393161e+00
6889.562813    1.393013e+00
6889.819717    1.392116e+00
6890.076641    1.391960e+00
6890.333585    1.391434e+00
6890.590549    1.390859e+00
6890.847533    1.390357e+00
6891.104537    1.390142e+00
6891.357545    1.389661e+00
6891.614588    1.389324e+00
6891.871652    1.388805e+00
6892.128736    1.388064e+00
6892.385840    1.388294e+00
6892.642964    1.387391e+00
6892.900108    1.387137e+00
6893.157272    1.386313e+00
6893.414456    1.386073e+00
6893.667641    1.385782e+00
6893.924864    1.385333e+00
6894.182108    1.384835e+00
6894.439372    1.384536e+00
6894.696656    1.383962e+00
6894.953960    1.383607e+00
6895.211284    1.383374e+00
