Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,MD_P_amostra_P2_10-20_25_09_2025_Pt
Sample ID
Option
Analyst
Date/Time:,09/25/2025 04:36:56 PM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1100 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
738.0,0.841
739.0,0.842
740.0,0.842
741.0,0.844
742.0,0.845
743.0,0.847
744.0,0.849
745.0,0.850
746.0,0.851
747.0,0.853
748.0,0.854
749.0,0.856
750.0,0.857
751.0,0.858
752.0,0.860
753.0,0.862
754.0,0.864
755.0,0.865
756.0,0.866
757.0,0.869
758.0,0.872
759.0,0.875
760.0,0.877
761.0,0.879
762.0,0.881
763.0,0.883
764.0,0.886
765.0,0.889
766.0,0.891
767.0,0.894
768.0,0.895
769.0,0.899
770.0,0.901
771.0,0.904
772.0,0.907
773.0,0.909
774.0,0.912
775.0,0.916
776.0,0.919
777.0,0.922
778.0,0.925
779.0,0.929
780.0,0.932
781.0,0.936
782.0,0.939
783.0,0.942
784.0,0.945
785.0,0.949
786.0,0.953
787.0,0.957
788.0,0.961
789.0,0.964
790.0,0.968
791.0,0.972
792.0,0.977
793.0,0.980
794.0,0.984
795.0,0.987
796.0,0.992
797.0,0.995
798.0,0.999
799.0,1.004
800.0,1.009
801.0,1.013
802.0,1.018
803.0,1.022
804.0,1.027
805.0,1.031
806.0,1.035
807.0,1.038
808.0,1.043
809.0,1.046
810.0,1.050
811.0,1.054
812.0,1.059
813.0,1.064
814.0,1.068
815.0,1.071
816.0,1.076
817.0,1.079
818.0,1.082
819.0,1.086
820.0,1.090
821.0,1.094
822.0,1.097
823.0,1.099
824.0,1.102
825.0,1.106
826.0,1.109
827.0,1.112
828.0,1.115
829.0,1.120
830.0,1.123
831.0,1.125
832.0,1.127
833.0,1.129
834.0,1.132
835.0,1.135
836.0,1.137
837.0,1.137
838.0,1.140
839.0,1.142
840.0,1.148
841.0,1.150
842.0,1.151
843.0,1.153
844.0,1.156
845.0,1.157
846.0,1.159
847.0,1.159
848.0,1.163
849.0,1.161
850.0,1.164
851.0,1.166
852.0,1.171
853.0,1.174
854.0,1.171
855.0,1.168
856.0,1.165
857.0,1.166
858.0,1.167
859.0,1.170
860.0,1.169
861.0,1.168
862.0,1.166
863.0,1.166
864.0,1.164
865.0,1.161
866.0,1.159
867.0,1.158
868.0,1.153
869.0,1.150
870.0,1.144
871.0,1.143
872.0,1.136
873.0,1.133
874.0,1.126
875.0,1.120
876.0,1.113
877.0,1.110
878.0,1.104
879.0,1.099
880.0,1.091
881.0,1.086
882.0,1.079
883.0,1.071
884.0,1.063
885.0,1.055
886.0,1.046
887.0,1.036
888.0,1.028
889.0,1.020
890.0,1.013
891.0,1.004
892.0,0.996
893.0,0.988
894.0,0.978
895.0,0.969
896.0,0.961
897.0,0.953
898.0,0.945
899.0,0.937
900.0,0.928
901.0,0.921
902.0,0.911
903.0,0.905
904.0,0.896
905.0,0.889
906.0,0.881
907.0,0.874
908.0,0.866
909.0,0.858
910.0,0.851
911.0,0.844
912.0,0.838
913.0,0.831
914.0,0.824
915.0,0.817
916.0,0.811
917.0,0.805
918.0,0.798
919.0,0.792
920.0,0.786
921.0,0.780
922.0,0.774
923.0,0.768
924.0,0.762
925.0,0.756
926.0,0.750
927.0,0.745
928.0,0.740
929.0,0.734
930.0,0.729
931.0,0.724
932.0,0.718
933.0,0.712
934.0,0.707
935.0,0.702
936.0,0.697
937.0,0.693
938.0,0.687
939.0,0.682
940.0,0.677
941.0,0.672
942.0,0.667
943.0,0.661
944.0,0.656
945.0,0.651
946.0,0.646
947.0,0.642
948.0,0.637
949.0,0.632
950.0,0.627
951.0,0.623
952.0,0.619
953.0,0.614
954.0,0.609
955.0,0.605
956.0,0.600
957.0,0.596
958.0,0.592
959.0,0.587
960.0,0.583
961.0,0.579
962.0,0.574
