clade_name	SRR33750934d	SRR33750935d	SRR33750936d	SRR33750937d	SRR33750938d	SRR33750940d	SRR33750943d	SRR33750947d	SRR33750950d	SRR33750951d	SRR33750952d	SRR33750956d	SRR33750957d	SRR33750958d	SRR33750959d
k__Bacteria|p__Pseudomonadota	2.116833281439272	2.026978094862122	2.5943349433976537	2.5664278399464777	2.286948282143689	1.8367936725706704	1.676516134100538	2.6992643793212765	2.598677072230076	2.5927180453608005	2.6891089397708807	2.4932266364693625	2.5206494913394977	2.5257442228082607	2.455613188918034
k__Bacteria|p__Actinomycetota	0.7182391600921358	0.6134477469765177	0.6701404574410865	0.7828108146039156	0.5107908668076308	0.4955162790773257	0.4823259868014689	0.7935851070223471	0.809440041252762	0.6603185124933614	0.8907618581342381	0.7632138006538831	0.9042179710008847	0.5467712642644819	0.7943243821876065
k__Archaea|p__Nitrososphaerota	0.6622251603278491	0.6840087171293596	0.5041691844135543	0.106434357519769	0.6977191432808522	1.0307031968707228	0.725148372900344	0.4696700946039797	0.3983992779460903	0.2747831166983174	0.0973861735499496	0.5365385373586751	0.0942861122699959	0.6628761188760576	0.5294062991428802
k__Bacteria|p__Thermodesulfobacteriota	0.5759869270220886	0.623929158552654	0.5276444390610818	0.3779024340655748	0.5543244375271019	0.6020331811600822	0.5263670740451849	0.4672601994220143	0.4370125406505921	0.3730307052483204	0.4692259440930182	0.4989463585067334	0.3183290918599001	0.4468443120070137	0.5163932354358064
k__Bacteria|p__Acidobacteriota	0.4322683861734868	0.4200821581251002	0.1956859042508488	0.4839534234969516	0.2998292599152931	0.2876025972516345	0.2539042795739192	0.382124514082691	0.3574853238361226	0.3320379785696619	0.5761960960339919	0.2997936083024595	0.4891389999857157	0.4150770539668675	0.3880612652759297
k__Bacteria|p__Verrucomicrobiota	0.2336448178300932	0.1833457289901464	0.2106001210206071	0.2848489639253305	0.1906024653063225	0.163159280866089	0.1140065712419845	0.1598195272845758	0.2268762851634052	0.1968991556713462	0.2923232129146466	0.1720747255328368	0.195692766529583	0.1548804769333632	0.2972781479937695
k__Bacteria|p__Firmicutes	0.0	0.0	0.0	0.019271529972937	0.0042372463425893	0.0183503198156381	0.0012389225064354	0.0078960297809591	0.0024504319756306	0.0085314947077156	0.0366490808274123	0.0044744531670821	0.0093062447471528	0.0018184095358348	0.0
k__Bacteria|p__Myxococcota	0.0	0.0	0.0	0.0023589392266443	0.0	0.0	0.0	0.0	0.0	0.0	0.0002586577901114	0.0	0.0	0.0	0.0
k__Bacteria|p__Nitrospirota	0.0	0.0	0.0	0.0004555097310811	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.497099928406368e-05	0.0	0.0
k__Bacteria|p__Thermomicrobiota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005313821366309	0.0	0.0010063949683833	0.0	0.0009209304056315	0.0	0.0	0.0
k__Bacteria|p__Bacteria_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0341977783864317	0.0	0.0
