clade_name	SRR33750934d	SRR33750935d	SRR33750936d	SRR33750937d	SRR33750938d	SRR33750940d	SRR33750943d	SRR33750947d	SRR33750950d	SRR33750951d	SRR33750952d	SRR33750956d	SRR33750957d	SRR33750958d	SRR33750959d
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB8491|o__OFGB8491	0.0075021500111568	0.0120950218613407	0.0093830479964366	0.0198801094715185	0.0117796720770333	0.0080511008334753	0.0017192978894981	0.0129229944362099	0.0175549081983726	0.0205243310865758	0.0149612313557628	0.016797083835497	0.0137420296415983	0.0101968800350647	0.014643370214758
k__Bacteria|p__Verrucomicrobiota|c__CFGB94214|o__OFGB94214	0.0065163968827167	0.0067289142020246	0.0177893711550744	0.0	0.0013583364776919	0.0121859532469884	0.021435853836179	0.007672420990568	0.0	0.0018263382884557	0.0	0.0111966251336162	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__CFGB33437|o__OFGB33437	0.004611239394097	0.0016809768076897	0.0156718016102464	0.0	0.0018950361699482	0.0069629584396135	0.0023576566794217	0.0119130197660248	0.0069184973757062	0.00496316530504	0.0	0.0146891022752217	0.0	0.0044278866449061	0.0035719303289349
k__Bacteria|p__Acidobacteriota|c__CFGB81229|o__OFGB81229	0.002487130970218	0.0	0.0	0.0	0.00050216186278	0.0032591061918843	0.0	0.0	0.0022490067570542	0.0021792646227586	0.0	0.0012314046128124	0.0	0.0009246553064572	0.0035559908824803
k__Bacteria|p__Acidobacteriota|c__CFGB82203|o__OFGB82203	0.00095115698499	0.0	0.0031088723652805	0.0	0.003407883990034	0.0038111588733667	0.0	0.0019586934801963	0.0	0.0135972084193267	0.0	0.0020631511832015	0.0	0.0195014320443093	0.0010355659118471
k__Bacteria|p__Actinomycetota|c__CFGB81282|o__OFGB81282	0.0006312611380202	0.0	0.0	0.0	0.0	0.0	0.0	0.0009631612485887	0.0002091537641332	0.0	0.0050892940968412	0.001370664933084	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__CFGB52786|o__OFGB52786	0.0005303162263098	0.0	0.0	0.0224753588226121	0.0	0.0	0.0	0.0	0.0	0.0	0.0152613148075718	0.0	0.0727066922307487	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Thermoleophilia|o__Solirubrobacterales	0.0	0.0003896334003201	0.0016444904948398	0.0	0.0018882194930779	0.0010908028887123	0.0010257582923935	0.001287867109023	0.0	0.0031536964514315	0.0	0.001250481369014	0.0	0.0011961093835713	0.0005802954724876
k__Bacteria|p__Acidobacteriota|c__CFGB15833|o__OFGB15833	0.0	0.0	0.0025403310417857	0.0007847715874564	0.0028680031819049	0.0030209919027629	0.001608936275136	0.0029587078479141	0.000259389310253	0.0024789190575441	0.0004208240999274	0.0035363536808691	0.0	0.0021754358264001	0.0017667880179517
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.0	0.0	0.0	0.019271529972937	0.0042372463425893	0.0183503198156381	0.0012389225064354	0.0078960297809591	0.0024504319756306	0.0085314947077156	0.0366490808274123	0.0044744531670821	0.0093062447471528	0.0018184095358348	0.0
k__Bacteria|p__Myxococcota|c__CFGB11444|o__OFGB11444	0.0	0.0	0.0	0.0023589392266443	0.0	0.0	0.0	0.0	0.0	0.0	0.0002586577901114	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__CFGB77274|o__OFGB77274	0.0	0.0	0.0	0.0016208747283647	6.589454307973613e-05	0.0	0.0	0.0012051965985443	0.0002550420033772	0.0018920402978605	0.0023223630100436	0.0009209304056315	0.0016615358961284	0.0012840586029516	0.0008024515074486
k__Bacteria|p__Nitrospirota|c__Nitrospiria|o__Nitrospirales	0.0	0.0	0.0	0.0004555097310811	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.497099928406368e-05	0.0	0.0
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB82396|o__OFGB82396	0.0	0.0	0.0	0.0001267103211332	0.0	0.0	0.0	0.0	0.0	0.0	0.000582485218747	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Betaproteobacteria_unclassified	0.0	0.0	0.0	0.0	0.0	0.000322363292721	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Thermomicrobiota|c__CFGB94062|o__OFGB94062	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005313821366309	0.0	0.0010063949683833	0.0	0.0009209304056315	0.0	0.0	0.0
k__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0024660450151607	0.0	0.0	0.0	0.002426923053709	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0082467378237877	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0341977783864317	0.0	0.0
k__Bacteria|p__Acidobacteriota|c__CFGB33470|o__OFGB33470	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0124873166318262	0.0	0.0
k__Bacteria|p__Acidobacteriota|c__CFGB39337|o__OFGB39337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004750376329574	0.0	0.0
k__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002730416229416	0.0	0.0
